Agent Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches,Rank,Agent
Platinum 1 Viper,0.97,14.3 / 14.7 / 5.2,0.498,0.047,202,0.106,382602,Platinum 1,Viper
Platinum 1 Phoenix,1.04,16.4 / 15.7 / 4.4,0.487,0.045,232,0.16,369189,Platinum 1,Phoenix
Platinum 1 Cypher,0.96,14.1 / 14.8 / 4.8,0.469,0.039,196,0.101,322014,Platinum 1,Cypher
Platinum 1 Brimstone,0.95,14.2 / 15.0 / 5.2,0.51,0.039,202,0.112,320535,Platinum 1,Brimstone
Platinum 1 Skye,0.92,14.1 / 15.3 / 5.0,0.474,0.031,197,0.115,254286,Platinum 1,Skye
Platinum 1 Breach,0.89,14.1 / 15.8 / 5.9,0.443,0.021,199,0.13,168555,Platinum 1,Breach
Platinum 1 Astra,1,14.7 / 14.7 / 4.1,0.497,0.015,202,0.103,127092,Platinum 1,Astra
Platinum 1 Yoru,0.95,14.9 / 15.6 / 3.9,0.447,0.013,211,0.152,106743,Platinum 1,Yoru
Diamond 1 Jett,1.09,17.4 / 16.0 / 3.6,0.498,0.155,242,0.195,516375,Diamond 1,Jett
Diamond 1 Sage,0.95,14.1 / 14.8 / 6.9,0.506,0.143,197,0.107,475218,Diamond 1,Sage
Diamond 1 Reyna,1.1,17.4 / 15.8 / 4.5,0.513,0.135,244,0.161,449259,Diamond 1,Reyna
Diamond 1 Omen,0.96,14.8 / 15.4 / 3.9,0.492,0.105,202,0.113,348024,Diamond 1,Omen
Diamond 1 Raze,1.03,16.5 / 16.0 / 4.9,0.5,0.082,240,0.154,273870,Diamond 1,Raze
Diamond 1 Sova,0.98,14.3 / 14.5 / 6.5,0.504,0.08,205,0.093,264894,Diamond 1,Sova
Diamond 1 Killjoy,0.96,14.0 / 14.6 / 3.8,0.482,0.065,198,0.096,215169,Diamond 1,Killjoy
Diamond 1 Viper,0.98,14.4 / 14.7 / 5.3,0.502,0.044,202,0.106,145299,Diamond 1,Viper
Diamond 1 Phoenix,1.04,16.3 / 15.7 / 4.4,0.483,0.041,232,0.163,137751,Diamond 1,Phoenix
Diamond 1 Cypher,0.95,14.1 / 14.8 / 4.8,0.481,0.04,195,0.1,134130,Diamond 1,Cypher
Diamond 1 Brimstone,0.95,14.2 / 15.0 / 5.3,0.497,0.034,201,0.107,112353,Diamond 1,Brimstone
Diamond 1 Skye,0.94,14.4 / 15.3 / 5.0,0.489,0.031,199,0.111,101592,Diamond 1,Skye
Diamond 1 Breach,0.88,13.7 / 15.6 / 6.1,0.451,0.018,195,0.123,59772,Diamond 1,Breach
Diamond 1 Astra,0.98,14.7 / 15.0 / 4.3,0.506,0.018,199,0.101,59619,Diamond 1,Astra
Diamond 1 Yoru,0.96,15.0 / 15.7 / 3.9,0.452,0.011,211,0.149,35088,Diamond 1,Yoru
Immortal Jett,1.07,17.3 / 16.1 / 3.5,0.493,0.168,240,0.201,813450,Immortal,Jett
Immortal Sage,0.96,14.3 / 14.8 / 7.0,0.513,0.135,198,0.105,653820,Immortal,Sage
Immortal Reyna,1.09,17.3 / 15.9 / 4.3,0.501,0.129,240,0.162,626127,Immortal,Reyna
Immortal Omen,0.97,14.8 / 15.3 / 4.0,0.499,0.105,202,0.112,510357,Immortal,Omen
Immortal Sova,0.98,14.3 / 14.6 / 6.7,0.508,0.09,204,0.089,435591,Immortal,Sova
Immortal Raze,1.03,16.7 / 16.1 / 4.9,0.514,0.084,242,0.153,406929,Immortal,Raze
Immortal Killjoy,1,14.5 / 14.5 / 3.7,0.512,0.068,201,0.097,327675,Immortal,Killjoy
Immortal Viper,0.98,14.4 / 14.8 / 5.3,0.506,0.046,200,0.106,224145,Immortal,Viper
Immortal Cypher,0.95,14.2 / 14.9 / 4.7,0.461,0.042,195,0.097,205377,Immortal,Cypher
Immortal Phoenix,1.02,16.2 / 15.8 / 4.4,0.484,0.034,228,0.162,164424,Immortal,Phoenix
Immortal Skye,0.91,14.3 / 15.7 / 5.2,0.478,0.033,195,0.117,158049,Immortal,Skye
Immortal Brimstone,0.96,14.4 / 15.0 / 5.2,0.508,0.027,202,0.106,130305,Immortal,Brimstone
Immortal Astra,0.99,14.7 / 14.9 / 4.5,0.485,0.022,198,0.097,105978,Immortal,Astra
Immortal Breach,0.87,13.5 / 15.5 / 6.8,0.45,0.01,191,0.112,49419,Immortal,Breach
Immortal Yoru,0.92,14.8 / 16.0 / 3.9,0.411,0.008,207,0.158,39984,Immortal,Yoru
Radiant Jett,1.14,18.6 / 16.4 / 3.6,0.511,0.193,253,0.206,65943,Radiant,Jett
Radiant Reyna,1.15,18.4 / 16.0 / 4.3,0.515,0.137,250,0.164,46716,Radiant,Reyna
Radiant Sova,1.05,15.4 / 14.7 / 7.2,0.516,0.114,216,0.086,38811,Radiant,Sova
Radiant Sage,1.01,15.3 / 15.1 / 6.9,0.521,0.113,206,0.105,38454,Radiant,Sage
Radiant Raze,1.04,17.3 / 16.7 / 4.9,0.465,0.097,247,0.159,32997,Radiant,Raze
Radiant Omen,0.99,15.3 / 15.4 / 4.3,0.488,0.087,205,0.11,29682,Radiant,Omen
Radiant Killjoy,1.05,15.7 / 14.9 / 3.6,0.485,0.051,212,0.093,17238,Radiant,Killjoy
Radiant Viper,1.02,15.2 / 15.0 / 5.4,0.522,0.05,210,0.105,17187,Radiant,Viper
Radiant Skye,0.99,15.8 / 15.9 / 5.4,0.456,0.036,208,0.102,12189,Radiant,Skye
Radiant Cypher,1.05,16.0 / 15.2 / 5.0,0.436,0.033,212,0.098,11118,Radiant,Cypher
Radiant Phoenix,1.06,17.3 / 16.2 / 4.6,0.471,0.031,233,0.164,10506,Radiant,Phoenix
Radiant Astra,1.07,15.9 / 14.9 / 4.6,0.554,0.028,213,0.101,9384,Radiant,Astra
Radiant Brimstone,0.97,15.3 / 15.7 / 5.4,0.454,0.016,210,0.117,5508,Radiant,Brimstone
Radiant Yoru,1.06,16.0 / 15.0 / 4.4,0.507,0.011,221,0.149,3825,Radiant,Yoru
Radiant Breach,0.75,11.9 / 15.8 / 7.0,0.375,0.005,167,0.131,1632,Radiant,Breach
